experiment,task,model,n_features,depth,ood,n_train,n_test,seed,status,metric_primary_name,metric_primary,metric_secondary_name,metric_secondary,fit_seconds,predict_seconds,error
2_ood,regression,xgboost,200,5,True,100,500,0,ok,r2,-0.026786574322185785,rmse,6.677934790959169,0.20456937490962446,0.0005009159212931991,
2_ood,regression,xgboost,500,5,False,100,500,0,ok,r2,-0.11310453169682089,rmse,3.6234674436468275,0.22548233403358608,0.0005961250280961394,
2_ood,regression,xgboost,500,5,True,100,500,0,ok,r2,-0.10354617879210237,rmse,5.540188336814888,0.22629308293107897,0.0005997080588713288,
2_ood,regression,xgboost,1000,5,False,100,500,0,ok,r2,-0.11104406983985937,rmse,4.307569116949199,0.6977391249965876,0.0015432920772582293,
2_ood,regression,xgboost,1000,5,True,100,500,0,ok,r2,-0.0631761791203973,rmse,5.936224048594144,1.3796152919530869,0.0046974589349702,
2_ood,regression,xgboost,2000,5,False,100,500,0,ok,r2,-0.10524943568539835,rmse,3.7842043893639774,0.8955818340182304,0.0012457920238375664,
2_ood,regression,xgboost,2000,5,True,100,500,0,ok,r2,-0.19243608661985068,rmse,5.950336543096426,1.691717499983497,0.0033601250033825636,
3_depth,classification,tabpfn_v2_5,500,5,False,100,500,0,ok,accuracy,0.65,roc_auc,0.680493720512991,0.3171063339104876,20.64563162496779,
3_depth,classification,tabpfn_v3,500,5,False,100,500,0,ok,accuracy,0.682,roc_auc,0.7106784503953751,0.610678541008383,4.267130957916379,
3_depth,classification,tabicl_v2,500,5,False,100,500,0,ok,accuracy,0.554,roc_auc,0.5870323609542163,1.3277992500225082,29.45333591592498,
3_depth,classification,tabpfn_v2_5,500,10,False,100,500,0,ok,accuracy,0.63,roc_auc,0.6685284395303772,0.3041501250118017,19.957424417021684,
3_depth,classification,tabpfn_v3,500,10,False,100,500,0,ok,accuracy,0.604,roc_auc,0.6384523945221541,0.5596181669970974,4.748616249999031,
3_depth,classification,tabicl_v2,500,10,False,100,500,0,ok,accuracy,0.584,roc_auc,0.5975151031574147,1.2330873330356553,35.653349124942906,
3_depth,classification,tabpfn_v2_5,500,20,False,100,500,0,ok,accuracy,0.526,roc_auc,0.5451342174386572,0.24877524992916733,24.689985333010554,
3_depth,classification,tabpfn_v3,500,20,False,100,500,0,ok,accuracy,0.554,roc_auc,0.5559933371772695,0.4439368339953944,5.742737457971089,
3_depth,classification,tabicl_v2,500,20,False,100,500,0,ok,accuracy,0.538,roc_auc,0.5127971042347363,1.2532467499841005,37.349153374903835,
3_depth,regression,tabpfn_v2_5,500,5,False,100,500,0,ok,r2,-0.016451705557784857,rmse,3.4625795728964914,0.4191078330622986,20.462704790988937,
3_depth,regression,tabpfn_v3,500,5,False,100,500,0,ok,r2,-0.022251408636491776,rmse,3.4724439711248625,0.4615374590503052,15.654226459097117,
3_depth,regression,tabicl_v2,500,5,False,100,500,0,ok,r2,-0.007386700058994666,rmse,3.4471048587698125,1.3023315420141444,34.19247291702777,
3_depth,regression,tabpfn_v2_5,500,10,False,100,500,0,ok,r2,0.08792167036067655,rmse,2.079491872036312,0.5704657500609756,19.992880166042596,
3_depth,regression,tabpfn_v3,500,10,False,100,500,0,ok,r2,0.06355424733168691,rmse,2.107087014537191,0.4913002500543371,16.939205291913822,
3_depth,regression,tabicl_v2,500,10,False,100,500,0,ok,r2,0.010026820947720783,rmse,2.1664709642291995,1.2854299580212682,33.670924542006105,
3_depth,regression,tabpfn_v2_5,500,20,False,100,500,0,ok,r2,-0.037800235549984906,rmse,24.59976208870581,0.45520437497179955,19.48207295802422,
3_depth,regression,tabpfn_v3,500,20,False,100,500,0,ok,r2,-0.06405041312058346,rmse,24.90893313353477,0.49635991698596627,16.296773958019912,
3_depth,regression,tabicl_v2,500,20,False,100,500,0,ok,r2,-0.10143702039515579,rmse,25.342756991202545,1.1709894159575924,33.03973395796493,
3_depth,classification,xgboost,500,5,False,100,500,0,ok,accuracy,0.628,roc_auc,0.6688650408665027,0.11377166607417166,0.0009232090087607503,
3_depth,classification,xgboost,500,10,False,100,500,0,ok,accuracy,0.604,roc_auc,0.6419859634267476,0.1537471249466762,0.0006672079907730222,
3_depth,classification,xgboost,500,20,False,100,500,0,ok,accuracy,0.504,roc_auc,0.5316804407713499,0.12034283298999071,0.000590750016272068,
